"№";"Название";"Username";"Тип";"Подписчики";"ER %";"Ср. охват";"Цена поста";"CPM";"Категория";"Ссылка Telegram";"Ссылка TGStat";"Описание"
"31";"155 714";"rus_buzines";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rus_buzines";"https://tgstat.ru/channel/@rus_buzines";""
"32";"145 345";"master_businessa";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/master_businessa";"https://tgstat.ru/channel/@master_businessa";""
"33";"143 904";"Founder_Startup";"Канал";"N/A";"40 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Founder_Startup";"https://tgstat.ru/channel/@Founder_Startup";""
"34";"138 042";"retail_bez";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/retail_bez";"https://tgstat.ru/channel/@retail_bez";""
"35";"136 511";"rb_ru";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rb_ru";"https://tgstat.ru/channel/@rb_ru";""
"36";"136 310";"Businesses_Upgrade";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Businesses_Upgrade";"https://tgstat.ru/channel/@Businesses_Upgrade";""
"37";"133 208";"financovich";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/financovich";"https://tgstat.ru/channel/@financovich";""
"38";"129 196";"times_finance";"Канал";"N/A";"37 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/times_finance";"https://tgstat.ru/channel/@times_finance";""
"39";"123 362";"zakonycnexatg";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/zakonycnexatg";"https://tgstat.ru/channel/@zakonycnexatg";""
"40";"118 619";"BusinessAtmosphere";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/BusinessAtmosphere";"https://tgstat.ru/channel/@BusinessAtmosphere";""
"41";"113 756";"Finance_Instinct";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Finance_Instinct";"https://tgstat.ru/channel/@Finance_Instinct";""
"42";"112 359";"verimvbiz";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/verimvbiz";"https://tgstat.ru/channel/@verimvbiz";""
"43";"101 194";"namarketplacewithleo";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/namarketplacewithleo";"https://tgstat.ru/channel/@namarketplacewithleo";""
"44";"101 052";"sokolay";"Канал";"N/A";"11 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sokolay";"https://tgstat.ru/channel/@sokolay";""
"45";"100 969";"moscowachBusiness";"Канал";"N/A";"20 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/moscowachBusiness";"https://tgstat.ru/channel/@moscowachBusiness";""
"46";"95 027";"way_of_millionaire";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/way_of_millionaire";"https://tgstat.ru/channel/@way_of_millionaire";""
"47";"94 073";"SdfeyKf7JE85Y2My";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/SdfeyKf7JE85Y2My";"https://tgstat.ru/channel/SdfeyKf7JE85Y2My";""
"48";"92 394";"portnyaginlive";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/portnyaginlive";"https://tgstat.ru/channel/@portnyaginlive";""
"49";"91 670";"russian_ecom";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/russian_ecom";"https://tgstat.ru/channel/@russian_ecom";""
"50";"90 492";"business_motivators";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/business_motivators";"https://tgstat.ru/channel/@business_motivators";""
"51";"87 750";"mtokovinin";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mtokovinin";"https://tgstat.ru/channel/@mtokovinin";""
"52";"85 713";"avito_b2b";"Канал";"N/A";"10 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/avito_b2b";"https://tgstat.ru/channel/@avito_b2b";""
"53";"85 072";"millionaire_thinks";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/millionaire_thinks";"https://tgstat.ru/channel/@millionaire_thinks";""
"54";"84 816";"temno";"Канал";"N/A";"6 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/temno";"https://tgstat.ru/channel/@temno";""
"55";"84 790";"ec_retail";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ec_retail";"https://tgstat.ru/channel/@ec_retail";""
"56";"84 173";"malkinawb";"Канал";"N/A";"24 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/malkinawb";"https://tgstat.ru/channel/@malkinawb";""
"57";"84 031";"mpgo_ru";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mpgo_ru";"https://tgstat.ru/channel/@mpgo_ru";""
"58";"83 801";"Oskar_Hartmann";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/Oskar_Hartmann";"https://tgstat.ru/channel/@Oskar_Hartmann";""
"59";"83 204";"RightSucess";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/RightSucess";"https://tgstat.ru/channel/@RightSucess";""
"60";"82 708";"wbsharks";"Канал";"N/A";"84 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/wbsharks";"https://tgstat.ru/channel/@wbsharks";""
"61";"81 116";"retail_kitchen";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/retail_kitchen";"https://tgstat.ru/channel/@retail_kitchen";""
"62";"80 540";"2wnIR_1Z8CJjYWJi";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/2wnIR_1Z8CJjYWJi";"https://tgstat.ru/channel/2wnIR_1Z8CJjYWJi";""
"63";"80 455";"startup_club24";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/startup_club24";"https://tgstat.ru/channel/@startup_club24";""
"64";"79 281";"NMcnygl7Pjc0YzUy";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/NMcnygl7Pjc0YzUy";"https://tgstat.ru/channel/NMcnygl7Pjc0YzUy";""
"65";"75 585";"DELO_govorim";"Канал";"N/A";"27 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/DELO_govorim";"https://tgstat.ru/channel/@DELO_govorim";""
"66";"74 680";"People_PRO_main";"Канал";"N/A";"27 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/People_PRO_main";"https://tgstat.ru/channel/@People_PRO_main";""
"67";"72 306";"yandexbusiness";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/yandexbusiness";"https://tgstat.ru/channel/@yandexbusiness";""
"68";"71 136";"businessmts";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/businessmts";"https://tgstat.ru/channel/@businessmts";""
"69";"70 329";"vsedlyamp";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/vsedlyamp";"https://tgstat.ru/channel/@vsedlyamp";""
"70";"69 530";"great_life_union1";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/great_life_union1";"https://tgstat.ru/channel/@great_life_union1";""
"71";"69 196";"imceobeach";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/imceobeach";"https://tgstat.ru/channel/@imceobeach";""
"72";"68 649";"your_pet_project";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/your_pet_project";"https://tgstat.ru/channel/@your_pet_project";""
"73";"66 699";"hikollegi";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/hikollegi";"https://tgstat.ru/channel/@hikollegi";""
"74";"66 303";"2jaPQox_FdhkZDdi";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/2jaPQox_FdhkZDdi";"https://tgstat.ru/channel/2jaPQox_FdhkZDdi";""
"75";"64 950";"JilkaB";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/JilkaB";"https://tgstat.ru/channel/@JilkaB";""
"76";"64 029";"if_estate";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/if_estate";"https://tgstat.ru/channel/@if_estate";""
"77";"62 584";"moibiz";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/moibiz";"https://tgstat.ru/channel/@moibiz";""
"78";"62 488";"tQx9drLDijAzYzg6";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tQx9drLDijAzYzg6";"https://tgstat.ru/channel/tQx9drLDijAzYzg6";""
"79";"62 387";"brainsstorming";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/brainsstorming";"https://tgstat.ru/channel/@brainsstorming";""
"80";"60 926";"nVz1fYBWvDkwN2Yy";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/nVz1fYBWvDkwN2Yy";"https://tgstat.ru/channel/nVz1fYBWvDkwN2Yy";""
"81";"60 471";"wbpopolochcam";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/wbpopolochcam";"https://tgstat.ru/channel/@wbpopolochcam";""
"82";"59 766";"labarotorybus";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/labarotorybus";"https://tgstat.ru/channel/@labarotorybus";""
"83";"59 459";"DoRealCash";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/DoRealCash";"https://tgstat.ru/channel/@DoRealCash";""
"84";"58 966";"marketplace_hogwarts";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/marketplace_hogwarts";"https://tgstat.ru/channel/@marketplace_hogwarts";""
"85";"58 824";"delaumoney";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/delaumoney";"https://tgstat.ru/channel/@delaumoney";""
"86";"58 817";"startupoftheday";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/startupoftheday";"https://tgstat.ru/channel/@startupoftheday";""
"87";"58 063";"svgrishinofficial";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/svgrishinofficial";"https://tgstat.ru/channel/@svgrishinofficial";""
"88";"57 581";"logistica_2_0";"Канал";"N/A";"7 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/logistica_2_0";"https://tgstat.ru/channel/@logistica_2_0";""
"89";"57 391";"vladlen_strokan";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/vladlen_strokan";"https://tgstat.ru/channel/@vladlen_strokan";""
"90";"56 640";"disruptors_official";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/disruptors_official";"https://tgstat.ru/channel/@disruptors_official";""
"91";"56 470";"mspiridonov";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mspiridonov";"https://tgstat.ru/channel/@mspiridonov";""
"92";"55 296";"like_new_challenge";"Канал";"N/A";"60 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/like_new_challenge";"https://tgstat.ru/channel/@like_new_challenge";""
"93";"55 218";"business_ru";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/business_ru";"https://tgstat.ru/channel/@business_ru";""
"94";"55 189";"r7KHBGHxF-81M2Ey";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/r7KHBGHxF-81M2Ey";"https://tgstat.ru/channel/r7KHBGHxF-81M2Ey";""
"95";"54 436";"tp48rgL6bmwyMmZi";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tp48rgL6bmwyMmZi";"https://tgstat.ru/channel/tp48rgL6bmwyMmZi";""
"96";"54 359";"vyakuba";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/vyakuba";"https://tgstat.ru/channel/@vyakuba";""
"97";"54 045";"nashputwildberries";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/nashputwildberries";"https://tgstat.ru/channel/@nashputwildberries";""
"98";"53 996";"kyrillic";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kyrillic";"https://tgstat.ru/channel/@kyrillic";""
"99";"53 079";"mininggut";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/mininggut";"https://tgstat.ru/channel/@mininggut";""
"100";"53 075";"PRO_biz_channel";"Канал";"N/A";"80 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/PRO_biz_channel";"https://tgstat.ru/channel/@PRO_biz_channel";""
"101";"52 888";"ruminblog";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ruminblog";"https://tgstat.ru/channel/@ruminblog";""
"102";"52 773";"budni_retail";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/budni_retail";"https://tgstat.ru/channel/@budni_retail";""
"103";"52 586";"corpmspof";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/corpmspof";"https://tgstat.ru/channel/@corpmspof";""
"104";"51 927";"sellermp";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sellermp";"https://tgstat.ru/channel/@sellermp";""
"105";"51 296";"btochka";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/btochka";"https://tgstat.ru/channel/@btochka";""
"106";"50 693";"tochka";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tochka";"https://tgstat.ru/channel/@tochka";""
"107";"50 136";"likeisstrong";"Канал";"N/A";"26 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/likeisstrong";"https://tgstat.ru/channel/@likeisstrong";""
"108";"49 072";"bankovshina";"Канал";"N/A";"83 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bankovshina";"https://tgstat.ru/channel/@bankovshina";""
"109";"48 765";"spravochnaya";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/spravochnaya";"https://tgstat.ru/channel/@spravochnaya";""
"110";"48 745";"kudahiko";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kudahiko";"https://tgstat.ru/channel/@kudahiko";""
"111";"46 963";"rubinsider";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/rubinsider";"https://tgstat.ru/channel/@rubinsider";""
"112";"46 544";"X10_Movement";"Канал";"N/A";"9 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/X10_Movement";"https://tgstat.ru/channel/@X10_Movement";""
"113";"46 464";"o_busines";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/o_busines";"https://tgstat.ru/channel/@o_busines";""
"114";"46 276";"ryzov_igor";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/ryzov_igor";"https://tgstat.ru/channel/@ryzov_igor";""
"115";"45 949";"kabinetnews";"Канал";"N/A";"2 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kabinetnews";"https://tgstat.ru/channel/@kabinetnews";""
"116";"45 303";"turov";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/turov";"https://tgstat.ru/channel/@turov";""
"117";"45 157";"soyuztg";"Канал";"N/A";"26 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/soyuztg";"https://tgstat.ru/channel/@soyuztg";""
"118";"44 996";"BiznesHour";"Канал";"N/A";"95 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/BiznesHour";"https://tgstat.ru/channel/@BiznesHour";""
"119";"44 508";"FounderWoman";"Канал";"N/A";"11 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/FounderWoman";"https://tgstat.ru/channel/@FounderWoman";""
"120";"44 129";"b_prost";"Канал";"N/A";"14 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/b_prost";"https://tgstat.ru/channel/@b_prost";""
"121";"44 096";"topbizidei";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/topbizidei";"https://tgstat.ru/channel/@topbizidei";""
"122";"43 829";"skolkovo_channel";"Канал";"N/A";"67 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/skolkovo_channel";"https://tgstat.ru/channel/@skolkovo_channel";""
"123";"43 712";"sovet_directors";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/sovet_directors";"https://tgstat.ru/channel/@sovet_directors";""
"124";"43 584";"grandioz_finansov";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/grandioz_finansov";"https://tgstat.ru/channel/@grandioz_finansov";""
"125";"43 573";"trusprobusiness";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/trusprobusiness";"https://tgstat.ru/channel/@trusprobusiness";""
"126";"43 262";"GFF1MIZMjsxhOTIy";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/GFF1MIZMjsxhOTIy";"https://tgstat.ru/channel/GFF1MIZMjsxhOTIy";""
"127";"43 232";"moneypuliator";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/moneypuliator";"https://tgstat.ru/channel/@moneypuliator";""
"128";"42 990";"bikontora";"Канал";"N/A";"17 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bikontora";"https://tgstat.ru/channel/@bikontora";""
"129";"42 888";"flngrad";"Канал";"N/A";"96 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/flngrad";"https://tgstat.ru/channel/@flngrad";""
"130";"42 877";"tranzhirastyle";"Канал";"N/A";"8 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/tranzhirastyle";"https://tgstat.ru/channel/@tranzhirastyle";""
"131";"42 608";"okoloretail";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/okoloretail";"https://tgstat.ru/channel/@okoloretail";""
"132";"42 445";"kosyanenko_pishet";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kosyanenko_pishet";"https://tgstat.ru/channel/@kosyanenko_pishet";""
"133";"42 400";"karmanni_capitalistum";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/karmanni_capitalistum";"https://tgstat.ru/channel/@karmanni_capitalistum";""
"134";"42 173";"SwamCapital";"Канал";"N/A";"N/A";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/SwamCapital";"https://tgstat.ru/channel/@SwamCapital";""
"135";"41 810";"naukapobezhdat";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/naukapobezhdat";"https://tgstat.ru/channel/@naukapobezhdat";""
"136";"41 543";"marketguruclub";"Канал";"N/A";"3 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/marketguruclub";"https://tgstat.ru/channel/@marketguruclub";""
"137";"41 296";"kirill_stulov_official";"Канал";"N/A";"68 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kirill_stulov_official";"https://tgstat.ru/channel/@kirill_stulov_official";""
"138";"41 184";"predprinimatelya";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/predprinimatelya";"https://tgstat.ru/channel/@predprinimatelya";""
"139";"41 177";"bizmoy";"Канал";"N/A";"17 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/bizmoy";"https://tgstat.ru/channel/@bizmoy";""
"140";"41 095";"do9ii1kAt5ZkMTRi";"Канал";"N/A";"4 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/do9ii1kAt5ZkMTRi";"https://tgstat.ru/channel/do9ii1kAt5ZkMTRi";""
"141";"40 771";"pegas_touristik_msk";"Канал";"N/A";"30 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/pegas_touristik_msk";"https://tgstat.ru/channel/@pegas_touristik_msk";""
"142";"40 716";"kosenkoeffect";"Канал";"N/A";"25 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/kosenkoeffect";"https://tgstat.ru/channel/@kosenkoeffect";""
"143";"40 547";"trandford";"Канал";"N/A";"5 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/trandford";"https://tgstat.ru/channel/@trandford";""
"144";"40 527";"nul1biz";"Канал";"N/A";"54 ";"N/A";"N/A";"N/A";"Неизвестная страница";"https://t.me/nul1biz";"https://tgstat.ru/channel/@nul1biz";""
