№;Количиство подписчиков;Username;Тип;Ссылка Telegram
37;19 033;MDPS152Chat;Чат;https://t.me/MDPS152Chat
38;7 877;taxiGenichesk;Чат;https://t.me/taxiGenichesk
39;17 836;logistics_avto;Чат;https://t.me/logistics_avto
40;11 817;CargoAuto;Чат;https://t.me/CargoAuto
41;28 235;MDPS_NSK54;Чат;https://t.me/MDPS_NSK54
42;4 461;dtp_38rus;Чат;https://t.me/dtp_38rus
43;13 420;tug34;Чат;https://t.me/tug34
44;26 920;dps_kazan16;Чат;https://t.me/dps_kazan16
45;5 581;orskdps;Чат;https://t.me/orskdps
46;28 151;gibdd40;Чат;https://t.me/gibdd40
47;22 492;almetyevsk_dps;Чат;https://t.me/almetyevsk_dps
48;14 059;TaxiBEST;Чат;https://t.me/TaxiBEST
49;39 327;MDPS_NSK154;Чат;https://t.me/MDPS_NSK154
50;21 982;dps_ufa;Чат;https://t.me/dps_ufa
51;15 209;bezdpsus;Чат;https://t.me/bezdpsus
52;10 902;perevezem24;Чат;https://t.me/perevezem24
53;19 790;mestodps39;Чат;https://t.me/mestodps39
54;4 943;kirovskoedps;Чат;https://t.me/kirovskoedps
55;10 425;M7gM5HOCHc05MTUy;Чат;https://t.me/M7gM5HOCHc05MTUy
56;22 080;wcGmloSd5XJjYWFi;Чат;https://t.me/wcGmloSd5XJjYWFi
57;15 936;location_dps26;Чат;https://t.me/location_dps26
58;17 551;ams_yalta;Чат;https://t.me/ams_yalta
59;15 297;rzn_dps;Чат;https://t.me/rzn_dps
60;13 012;anti_dps_bratsk;Чат;https://t.me/anti_dps_bratsk
61;15 290;spatrull;Чат;https://t.me/spatrull
62;13 506;Nizniy100;Чат;https://t.me/Nizniy100
63;10 485;ConnectCity;Чат;https://t.me/ConnectCity
64;29 202;krasnoyarsk_antidps;Чат;https://t.me/krasnoyarsk_antidps
65;20 845;dorogachat;Чат;https://t.me/dorogachat
66;19 838;dpstver;Чат;https://t.me/dpstver
67;11 113;iLV4lSaFIZZmMWMy;Чат;https://t.me/iLV4lSaFIZZmMWMy
68;19 100;voyahchat;Чат;https://t.me/voyahchat
69;14 524;HAVAL_community;Чат;https://t.me/HAVAL_community
70;12 014;autoDromEnakievo;Чат;https://t.me/autoDromEnakievo
71;13 219;mdps_balakovo;Чат;https://t.me/mdps_balakovo
72;16 175;ams_simferopol;Чат;https://t.me/ams_simferopol
73;14 083;mdps_kld;Чат;https://t.me/mdps_kld
74;14 865;dpssam;Чат;https://t.me/dpssam
75;10 212;dps_sam1;Чат;https://t.me/dps_sam1
76;7 774;Voyagetour;Чат;https://t.me/Voyagetour
77;16 275;salavatdps;Чат;https://t.me/salavatdps
78;21 998;haval_jolion;Чат;https://t.me/haval_jolion
79;13 112;TaxiSMILE;Чат;https://t.me/TaxiSMILE
80;7 464;gruzytutRF;Чат;https://t.me/gruzytutRF
81;10 062;auto_mariupol3;Чат;https://t.me/auto_mariupol3
82;11 970;dps_almet;Чат;https://t.me/dps_almet
83;8 565;AutoSaleRF1;Чат;https://t.me/AutoSaleRF1
84;12 964;dpscontrolusr;Чат;https://t.me/dpscontrolusr
85;8 362;Progasi999;Чат;https://t.me/Progasi999
86;2 369;levcar_room;Чат;https://t.me/levcar_room
87;8 542;dps_Angarsk;Чат;https://t.me/dps_Angarsk
88;17 639;geely_monjaro_club;Чат;https://t.me/geely_monjaro_club
89;16 949;geely_monjaroclub;Чат;https://t.me/geely_monjaroclub
90;6 096;prodazha_avto_moskva;Чат;https://t.me/prodazha_avto_moskva
91;7 270;kurgandps;Чат;https://t.me/kurgandps
92;15 591;bombila_gorlovka;Чат;https://t.me/bombila_gorlovka
93;6 892;stopdpsNV;Чат;https://t.me/stopdpsNV
94;13 409;samara_sliv;Чат;https://t.me/samara_sliv
95;12 623;wwHLHUAt5gUwZTVi;Чат;https://t.me/wwHLHUAt5gUwZTVi
96;43 596;AvtoMelitopolja;Чат;https://t.me/AvtoMelitopolja
97;6 975;dpschatvlg;Чат;https://t.me/dpschatvlg
98;13 648;S4DLwuhA4Vc50aLu;Чат;https://t.me/S4DLwuhA4Vc50aLu
99;20 974;zeekrclub;Чат;https://t.me/zeekrclub
100;16 972;avto_lubiteli_lnr;Чат;https://t.me/avto_lubiteli_lnr
